Date,Year,Month,Quarter,Day
2021-01-01,2021,Jan,Q1,1
2021-01-02,2021,Jan,Q1,2
2021-01-03,2021,Jan,Q1,3
2021-01-04,2021,Jan,Q1,4
2021-01-05,2021,Jan,Q1,5
2021-01-06,2021,Jan,Q1,6
2021-01-07,2021,Jan,Q1,7
2021-01-08,2021,Jan,Q1,8
2021-01-09,2021,Jan,Q1,9
2021-01-10,2021,Jan,Q1,10
2021-01-11,2021,Jan,Q1,11
2021-01-12,2021,Jan,Q1,12
2021-01-13,2021,Jan,Q1,13
2021-01-14,2021,Jan,Q1,14
2021-01-15,2021,Jan,Q1,15
2021-01-16,2021,Jan,Q1,16
2021-01-17,2021,Jan,Q1,17
2021-01-18,2021,Jan,Q1,18
2021-01-19,2021,Jan,Q1,19
2021-01-20,2021,Jan,Q1,20
2021-01-21,2021,Jan,Q1,21
2021-01-22,2021,Jan,Q1,22
2021-01-23,2021,Jan,Q1,23
2021-01-24,2021,Jan,Q1,24
2021-01-25,2021,Jan,Q1,25
2021-01-26,2021,Jan,Q1,26
2021-01-27,2021,Jan,Q1,27
2021-01-28,2021,Jan,Q1,28
2021-01-29,2021,Jan,Q1,29
2021-01-30,2021,Jan,Q1,30
2021-01-31,2021,Jan,Q1,31
2021-02-01,2021,Feb,Q1,1
2021-02-02,2021,Feb,Q1,2
2021-02-03,2021,Feb,Q1,3
2021-02-04,2021,Feb,Q1,4
2021-02-05,2021,Feb,Q1,5
2021-02-06,2021,Feb,Q1,6
2021-02-07,2021,Feb,Q1,7
2021-02-08,2021,Feb,Q1,8
2021-02-09,2021,Feb,Q1,9
2021-02-10,2021,Feb,Q1,10
2021-02-11,2021,Feb,Q1,11
2021-02-12,2021,Feb,Q1,12
2021-02-13,2021,Feb,Q1,13
2021-02-14,2021,Feb,Q1,14
2021-02-15,2021,Feb,Q1,15
2021-02-16,2021,Feb,Q1,16
2021-02-17,2021,Feb,Q1,17
2021-02-18,2021,Feb,Q1,18
2021-02-19,2021,Feb,Q1,19
2021-02-20,2021,Feb,Q1,20
2021-02-21,2021,Feb,Q1,21
2021-02-22,2021,Feb,Q1,22
2021-02-23,2021,Feb,Q1,23
2021-02-24,2021,Feb,Q1,24
2021-02-25,2021,Feb,Q1,25
2021-02-26,2021,Feb,Q1,26
2021-02-27,2021,Feb,Q1,27
2021-02-28,2021,Feb,Q1,28
2021-03-01,2021,Mar,Q1,1
2021-03-02,2021,Mar,Q1,2
2021-03-03,2021,Mar,Q1,3
2021-03-04,2021,Mar,Q1,4
2021-03-05,2021,Mar,Q1,5
2021-03-06,2021,Mar,Q1,6
2021-03-07,2021,Mar,Q1,7
2021-03-08,2021,Mar,Q1,8
2021-03-09,2021,Mar,Q1,9
2021-03-10,2021,Mar,Q1,10
2021-03-11,2021,Mar,Q1,11
2021-03-12,2021,Mar,Q1,12
2021-03-13,2021,Mar,Q1,13
2021-03-14,2021,Mar,Q1,14
2021-03-15,2021,Mar,Q1,15
2021-03-16,2021,Mar,Q1,16
2021-03-17,2021,Mar,Q1,17
2021-03-18,2021,Mar,Q1,18
2021-03-19,2021,Mar,Q1,19
2021-03-20,2021,Mar,Q1,20
2021-03-21,2021,Mar,Q1,21
2021-03-22,2021,Mar,Q1,22
2021-03-23,2021,Mar,Q1,23
2021-03-24,2021,Mar,Q1,24
2021-03-25,2021,Mar,Q1,25
2021-03-26,2021,Mar,Q1,26
2021-03-27,2021,Mar,Q1,27
2021-03-28,2021,Mar,Q1,28
2021-03-29,2021,Mar,Q1,29
2021-03-30,2021,Mar,Q1,30
2021-03-31,2021,Mar,Q1,31
2021-04-01,2021,Apr,Q2,1
2021-04-02,2021,Apr,Q2,2
2021-04-03,2021,Apr,Q2,3
2021-04-04,2021,Apr,Q2,4
2021-04-05,2021,Apr,Q2,5
2021-04-06,2021,Apr,Q2,6
2021-04-07,2021,Apr,Q2,7
2021-04-08,2021,Apr,Q2,8
2021-04-09,2021,Apr,Q2,9
2021-04-10,2021,Apr,Q2,10
2021-04-11,2021,Apr,Q2,11
2021-04-12,2021,Apr,Q2,12
2021-04-13,2021,Apr,Q2,13
2021-04-14,2021,Apr,Q2,14
2021-04-15,2021,Apr,Q2,15
2021-04-16,2021,Apr,Q2,16
2021-04-17,2021,Apr,Q2,17
2021-04-18,2021,Apr,Q2,18
2021-04-19,2021,Apr,Q2,19
2021-04-20,2021,Apr,Q2,20
2021-04-21,2021,Apr,Q2,21
2021-04-22,2021,Apr,Q2,22
2021-04-23,2021,Apr,Q2,23
2021-04-24,2021,Apr,Q2,24
2021-04-25,2021,Apr,Q2,25
2021-04-26,2021,Apr,Q2,26
2021-04-27,2021,Apr,Q2,27
2021-04-28,2021,Apr,Q2,28
2021-04-29,2021,Apr,Q2,29
2021-04-30,2021,Apr,Q2,30
2021-05-01,2021,May,Q2,1
2021-05-02,2021,May,Q2,2
2021-05-03,2021,May,Q2,3
2021-05-04,2021,May,Q2,4
2021-05-05,2021,May,Q2,5
2021-05-06,2021,May,Q2,6
2021-05-07,2021,May,Q2,7
2021-05-08,2021,May,Q2,8
2021-05-09,2021,May,Q2,9
2021-05-10,2021,May,Q2,10
2021-05-11,2021,May,Q2,11
2021-05-12,2021,May,Q2,12
2021-05-13,2021,May,Q2,13
2021-05-14,2021,May,Q2,14
2021-05-15,2021,May,Q2,15
2021-05-16,2021,May,Q2,16
2021-05-17,2021,May,Q2,17
2021-05-18,2021,May,Q2,18
2021-05-19,2021,May,Q2,19
2021-05-20,2021,May,Q2,20
2021-05-21,2021,May,Q2,21
2021-05-22,2021,May,Q2,22
2021-05-23,2021,May,Q2,23
2021-05-24,2021,May,Q2,24
2021-05-25,2021,May,Q2,25
2021-05-26,2021,May,Q2,26
2021-05-27,2021,May,Q2,27
2021-05-28,2021,May,Q2,28
2021-05-29,2021,May,Q2,29
2021-05-30,2021,May,Q2,30
2021-05-31,2021,May,Q2,31
2021-06-01,2021,Jun,Q2,1
2021-06-02,2021,Jun,Q2,2
